"AN_EXERCICIO","NR_PERIODO","IN_PERIODICIDADE","CO_ESFERA","CO_PODER","ID_ENTE","NO_ENTE","SG_ENTE","tipo_receita","rubrica_receita","VALUE","QT_HABITANTE","ELEMENTLABEL","dh_consulta"
"2019","1","A","E","E","12","Acre","AC","Receitas Brutas Realizadas","1.7.7.0.00.1.0 - Transferências de Pessoas Físicas","90180.2","869265","1.7.7.0.00.1.0 - Transferências de Pessoas Físicas","##------ Sun Mar  1 14:14:45 2026 ------##"
"2019","1","A","E","E","12","Acre","AC","Receitas Brutas Realizadas","1.7.1.8.01.0.0 Participação na Receita da União","3404514592.01","869265","1.7.1.8.01.0.0 Participação na Receita da União","##------ Sun Mar  1 14:14:45 2026 ------##"
"2019","1","A","E","E","12","Acre","AC","Receitas Brutas Realizadas","1.7.1.8.03.4.0 - Transferência de Recursos do SUS ¿ Assistência Farmacêutica","682521.18","869265","1.7.1.8.03.4.0 - Transferência de Recursos do SUS ¿ Assistência Farmacêutica","##------ Sun Mar  1 14:14:45 2026 ------##"
"2019","1","A","E","E","12","Acre","AC","Receitas Brutas Realizadas","1.7.1.8.05.0.0 Transferências de Recursos do Fundo Nacional do Desenvolvimento da Educação ¿ FNDE","40214288.34","869265","1.7.1.8.05.0.0 Transferências de Recursos do Fundo Nacional do Desenvolvimento da Educação ¿ FNDE","##------ Sun Mar  1 14:14:45 2026 ------##"
"2019","1","A","E","E","12","Acre","AC","Receitas Brutas Realizadas","1.9.1.0.07.0.0 - Multas Aplicadas pelos Tribunais de Contas","83484.31","869265","1.9.1.0.07.0.0 - Multas Aplicadas pelos Tribunais de Contas","##------ Sun Mar  1 14:14:45 2026 ------##"
"2019","1","A","E","E","12","Acre","AC","Receitas Brutas Realizadas","1.9.2.1.00.0.0 - Indenizações","79196.84","869265","1.9.2.1.00.0.0 - Indenizações","##------ Sun Mar  1 14:14:45 2026 ------##"
"2019","1","A","E","E","12","Acre","AC","Receitas Brutas Realizadas","7.2.1.8.00.0.0 Contribuições Sociais Específicas de Estados, DF e   Municípios","202330037.47","869265","7.2.1.8.00.0.0 Contribuições Sociais Específicas de Estados, DF e   Municípios","##------ Sun Mar  1 14:14:45 2026 ------##"
"2019","1","A","E","E","12","Acre","AC","Receitas Brutas Realizadas","7.2.1.8.03.1.0 - CPSSS Patronal - Servidor Civil Ativo","164572739.27","869265","7.2.1.8.03.1.0 - CPSSS Patronal - Servidor Civil Ativo","##------ Sun Mar  1 14:14:45 2026 ------##"
"2019","1","A","E","E","12","Acre","AC","Deduções - FUNDEB","1.0.0.0.00.0.0 - Receitas Correntes","899746257.51","869265","1.0.0.0.00.0.0 - Receitas Correntes","##------ Sun Mar  1 14:14:45 2026 ------##"
"2019","1","A","E","E","12","Acre","AC","Receitas Brutas Realizadas","2.4.1.8.10.5.0 - Transferências de Convênios da União destinadas a Programas de Saneamento Básico","9351807.91","869265","2.4.1.8.10.5.0 - Transferências de Convênios da União destinadas a Programas de Saneamento Básico","##------ Sun Mar  1 14:14:45 2026 ------##"
"2019","1","A","E","E","12","Acre","AC","Receitas Brutas Realizadas","1.1.1.0.00.0.0 - Impostos","1862428183.55","869265","1.1.1.0.00.0.0 - Impostos","##------ Sun Mar  1 14:14:45 2026 ------##"
"2019","1","A","E","E","12","Acre","AC","Receitas Brutas Realizadas","TOTAL DAS RECEITAS (III) = (I + II)","7410386685","869265","TOTAL DAS RECEITAS (III) = (I + II)","##------ Sun Mar  1 14:14:45 2026 ------##"
"2019","1","A","E","E","12","Acre","AC","Deduções - FUNDEB","1.1.1.8.01.3.0 Imposto sobre Transmissão ¿Causa Mortis¿ e Doação de Bens e Direitos","908772.36","869265","1.1.1.8.01.3.0 Imposto sobre Transmissão ¿Causa Mortis¿ e Doação de Bens e Direitos","##------ Sun Mar  1 14:14:45 2026 ------##"
"2019","1","A","E","E","12","Acre","AC","Receitas Brutas Realizadas","1.1.1.8.02.0.0 Impostos sobre a Produção, Circulação de Mercadorias e Serviços","1413047877.27","869265","1.1.1.8.02.0.0 Impostos sobre a Produção, Circulação de Mercadorias e Serviços","##------ Sun Mar  1 14:14:45 2026 ------##"
"2019","1","A","E","E","12","Acre","AC","Receitas Brutas Realizadas","1.1.2.1.01.0.0 - Taxas de Inspeção, Controle e Fiscalização","3124018.81","869265","1.1.2.1.01.0.0 - Taxas de Inspeção, Controle e Fiscalização","##------ Sun Mar  1 14:14:45 2026 ------##"
"2019","1","A","E","E","12","Acre","AC","Receitas Brutas Realizadas","1.3.1.0.00.0.0 - Exploração do Patrimônio Imobiliário do Estado","119456.97","869265","1.3.1.0.00.0.0 - Exploração do Patrimônio Imobiliário do Estado","##------ Sun Mar  1 14:14:45 2026 ------##"
